title,content
창의력과 상상력이 뛰어난 공연,"매번 딸아이 데리고 연극을 자주 보러갔는데. 새로운 공연을 보여주고싶어 도전하게되었습니다. 아직 어리긴해도 어린자녀들의 눈높이에서 다양한 상상을 할 수있는 공연 연출이 매우 인상적이었습니다. 배우분들도 삐질삐질 땀을 흘려가며 열심히 뛰는 모습이 보기좋았습니다. 대규모유명공연에 비해서 짜임세가 떨어진다고 할수도있겠으나, 저는 새롭고 신선하게 느껴졌습니다. 다행히 딸아이도 재밌게 본것 같습니다. 매번정형화된 형식을 공연이 아닌 새로운 것을 느끼고싶으시다면 한번 도전해보시는걸 추천드립니다."
맥베스,"오피통로석 예대터져서 다녀왔는데 좌석 너무 좋았음! 통로로 배우분들 많이 다니셔서 더 재밌게 봤고 마지막에 방패 든 군대 조용히 다가와서 통로 우다다다 뛰어서 무대 올라가셨는데 놀래서 의자에서 펄쩍뛸뻔??

레이디 맥베스 김소진배우 첫 등장 때 너무 아름답고 우아하고 카리스마까지 있는 모습이라 너무 매력적이었고 극 중간중간 실루엣, 그림자로 보이는 모습도 너무 그림처럼 예쁘더라 의상, 왕관도 어쩜 너무 잘 어울리심

무대 세트, 소품, 의상 모두 검정, 회색, 흰색으로만 구성되어있었는데 피도 검정색으로 표현한 거 좋았음 배경 스코틀랜드라서 그런지 남자배우들 의상 통 넓은 바지, 바지위에 치마 이럼

극 보기 전엔 관계도에 왕관이 검은색인 거 별생각 없이 봤는데 모든 소품이 흑백이라 왕관도 검정(디테일 예쁨) 성에서 연회 열렸을 때 천장에 걸린 커다란 샹들리에도 검정 끈 같은 걸로 만들어져 있었는데 독특하게 예뻤고 웅장했음 음식과 식기류는 모두 흰색

황정민배우 연기는 뭐 설명 필요 없이 좋았는데 김소진배우와 두 분 대화 씬의 긴장감 최고였음 거사 치르기 전 몰아치는 대화 후 손잡고 퇴장하는 부부의 뒷모습이 너무 인상적이었는데 컷콜  때 이 씬처럼 두 배우분 손잡고 퇴장하심

마녀 3배우님들 양갈래 땋고 검정통원피스 펄럭이며 연기 하시는데 영상(하이라이트)으로 봤을땐 기괴하다 느꼈었는데 실제로 보니 연기 잘하신다는 생각만 들었음

맥베스 거사 치르고는 거의 부인을 탓하기도, 원망하기도 했으면서 막상 왕 자리에 앉고는 태도 돌변; 이런 연기 황배우님 역시나 너무 잘하시고 단절되기 시작하며 각자의 지옥에서 헤매는 두 사람의 모습 보며 인간, 욕심, 인생에 대한 여러가지 생각이 들었음

궁정 연회씬은 객석을 손님으로 설정하고 맥베와 레이디 맥베스가 손님들에게 인사를 하기도, 상황을 설명하기도 했는데 ??무선 핸드 마이크를 사용해서 너무 신박했음 상황이나 대사 모두 원작에 충실한데 마이크 하나 사용했다고 느낌이 너무 다르고 재밌었음"
"햄릿 리뷰_연극, 이 시대의 거울","시대를 관통한 대가들, 다시 고전을 말하다코미디 프로그램이 사라진건 지금의 현실 세계가 더 웃기고 기가 막히기 때문이다. 햄릿은 계속 주장한다. 왕인 자신의 아버지의 죽음에 대한 명백한 진상규명이 필요하다고..세월호 참사, 이태원 참사, 채상병 사망 사건 등 희생자들의 억울한 죽음 앞에 여전히 사망 원인은 알지 못한채 남아있다. 햄릿은 뻔뻔한 얼굴로 왕이 된 자신의 숙부 클로디어스에게 보란듯이 연극으로 자신이 알고 있는 사실을 재현한다.왜 햄릿은 연극을 통하여 말하려고 하였을까. 그것은 연극이 주는 메시지가 있기 때문이다. 연극은 배우가 무대에서 극본에 따라 행동과 말로써 관객에게 보여주는 예술이다. 햄릿은 연극을 통해서 선왕을 죽인 숙부 클로디어스와 숙부와 재혼한 어머니 거트루드를 향한 복수의 칼날을 예고한다.햄릿은 연극을 바라보는 숙부 클로디어스의 표정과 눈빛을 바라보며, 나를 제외한 모든 사람들이 나를 속였구나 라는 배신감에 이제 진상규명 조사단이 아닌 내가 직접 진실을 파헤쳐본다. 말이 아닌 행동으로..<햄릿> 은  ''리어왕'' ''오텔로'' ''맥베스''와 함께 셰익스피어의 4대 비극 중 하나로, 덴마크 왕자 햄릿이 삶과 죽음 사이에서 고뇌하는 이야기를 다룬 작품이다. 셰익스피어 서거 400주년, 이해랑 선생의 탄생 100주년을 기념한다. 공연 수익은 차범석연극재단과 한국연극인복지재단에 기부된다.스토리 구성은 햄릿은 부왕인 아버지를 잃고, 이내 왕위에 오른 숙부 클로디어스와 어머니가 재혼하는 것을 보며 경멸을 금치 못한다. 그러다 숙부가 아버지를 살해했다는 사실을 알게 된 햄릿은 미친 척 연기를 하며 몰래 복수를 준비한다. 하지만 숙부를 살해하려던 그의 계획과는 달리 연인 오필리어의 아버지 폴로니어스를 죽음으로 몰게 되고, 결국 사랑하는 사람까지 영영 잃고 만다. 햄릿의 손에 가족을 모두 잃은 레어티즈는 그와 검술 시합을 벌여 복수를 하려 하고, 음모와 계략으로 가득 찬 결투가 펼쳐지게 된다.거울 벽, 유리, LED 등이 사용되어 동시대성과 현대 도시의 음울함이 가득한 무대로 관객들을 맞이하며, 의자만으로 최소화된 경사 무대는 연극적 준비 상황이 그대로 노출된다.햄릿 역의 이승주 배우 연기가 돋보인다. 덴마크 왕자로 부왕의 갑작스러운 죽음과 어머니의 재혼, 그리고 숙부 클로디어스의 음모 속에서 복수를 꿈꾸며 삶과 죽음에 흔들리는 인간의 고뇌를 잘 연기한다. 많은 대사량을 소화하면서 흔들리지 않는 연기를 보여준다. 클로디어스 역의 길용우 배우는 햄릿과 대치점에 서있는 군주로 카리스마 있는 연기를 선보인다. 폴로니어스 역의 박지일 배우는 오필리어의 아버지로 딸에게는 한없이 따뜻한 아버지로 유머있는 연기를 잘 보여준다. 오필리어 역의 루나 배우는 햄릿의 연인으로 순수하고 햄릿을 진심으로 사랑하며 햄릿의 돌발 행동을 걱정하는 연기를 잘 보여준다. 거트루드 역의 김성녀 배우는 햄릿의 어머니로 숙부와 결혼하는데 있어 아무렇지 않은 듯 뻔뻔한 연기를 잘 보여준다. 레어티즈 역의 양승리 배우는 오필리어의 오빠로 햄릿과의 대결 연기를 잘 보여준다.선왕 역의 전무송 배우, 배우 1역의 전수경 배우, 배우 2역의 손숙 배우, 배우 3역의 정경순 배우, 무덤파기 역의 김재건 배우 등 대배우들의 연기를 볼 수 있다. 시대를 관통한 대가들, 다시 고전을 말하다, 진정한 인간의 본질을 묻는 이번 공연, ''햄릿'' 진심으로 추천한다."
재밌었어요!,줄넘기씬이랑 미지막 복싱장면 정말 멋있어요!!
너무 재밌었어요 !!,너무 재밌게 잘 봤습니다~ 와오~~
엔젤스 인 아메리카 관람 후기,프리뷰로 예매해서 보고 왔어요!! 200분이라는 꽤 긴 호흡을 끌고 가는 연극이라서 조금 걱정했는데1시간마다 인터미션이 있어서 생각보다는 힘들지 않게 관람했어요.기승전결이 뚜렸한 연극은 아니라서 조금 난해한 하기도 하고무엇보다 대사가 어려운 편이더라구요 ㅠㅠ그래도 밀레니엄이라는 거대한 변화앞에 개인들의 삶의 변화도 함께 맞이해야하는 사람들의 고뇌가 담긴 작품이라 그 시대를 지나온 1인으로서 재미있게 관람했습니다^^
역시역시~~~~,역시 언제 봐도 한뼘은 한뼘이죠 월요일 힘든데 웃음으로 견뎠습니다~~~~
너츠 후기,새로운 스타일의 연극 이였고 반전에 반전이 있는 연극 이였습니다. 표지훈 배우의 다른 매력도 알 수 있는 좋은 계기 였습니다.
부분 실망,"황정민 배우만 보고간 연극이라서 그점에서는
완전 만족이지만 현대적연출의 시도는 응원하지만 나한테는 고전의 해석과 몰입면에서 아쉬웠고
레이디 맥베스의 사악하고 간교함의 표현이 아쉬운 연극이었다."
"티키타카가 재밌는 연극, 추천합니다!","너무 재밌었어요 ㅋㅋㅋㅋㅠ 
박철민 배우님 연기가 실제로 보고 싶어서 예매했는데 세 배우진 분들이 오랜 기간 함께 해오셔서 그런지 티키타카와 애드립의 오고감이 장난 아니였어요 

 8/3(토) 공연이였는데 원래 배우분들이 이정도로 많이 즐기시나..?! 생각 할 정도로 관객 호응에 리액션이 좋으셨어요(꼴 꼴 꼴.. ????) 무대에서 많이 웃으셔서 물을 엄청 뿜은 흔적이 가득하더라구요 ㅋㅋㅋ

 서로 티키타카하는 재미가 있는 연극! 추천합니다!
덕분에 서울여행에서 좋은 추억 쌓았습니다 ??"
